time (s)	magX	magY	magZ
1456.653714	-2.514317	-5.353008	-14.738754
1456.657052	-2.748096	-5.236118	-14.504974
1456.660377	-2.689655	-6.054352	-14.154301
1456.663717	-2.222092	-5.353008	-14.563419
1456.667974	-3.098766	-5.528347	-14.095856
1456.671220	-2.280533	-5.528347	-15.147873
1456.674563	-2.222092	-5.586792	-14.914089
1456.677475	-2.514317	-5.586792	-14.797199
1456.680836	-2.631207	-4.885448	-14.621864
1456.684138	-2.105202	-5.411453	-15.147873
1456.687041	-2.163643	-5.995907	-14.621864
1456.690373	-2.222092	-5.411453	-13.920521
1456.693711	-2.572762	-5.469902	-14.329636
1456.697038	-2.280533	-5.060783	-14.797199
1456.700378	-2.397423	-5.411453	-14.446529
1456.703709	-2.455872	-5.236118	-14.797199
1456.707040	-1.988308	-6.288136	-15.147873
1456.710439	-2.631207	-5.586792	-14.388084
1456.713717	-1.871418	-5.645237	-14.855644
1456.717043	-2.689655	-5.586792	-14.680309
1456.720373	-1.988308	-5.586792	-15.089428
1456.723741	-2.222092	-5.762127	-15.264763
1456.727042	-1.812969	-5.995907	-15.498543
1456.730395	-2.105202	-5.879017	-15.381653
1456.733708	-2.046753	-5.879017	-15.030983
1456.737043	-1.696079	-6.580360	-15.907661
1456.741217	-2.222092	-6.521915	-15.264763
1456.744584	-1.754528	-6.463470	-16.024551
1456.747928	-1.754528	-6.405025	-15.966106
1456.750812	-2.046753	-6.405025	-16.082996
1456.754158	-1.871418	-6.288136	-15.206318
1456.757478	-2.046753	-7.047924	-15.030983
1456.760377	-1.520748	-6.638805	-14.563419
1456.763701	-1.812969	-7.047924	-14.855644
1456.767034	-2.280533	-7.340153	-14.855644
1456.770364	-2.222092	-7.573936	-15.440098
1456.773724	-2.163643	-8.216831	-15.147873
1456.777033	-1.929863	-7.924606	-14.621864
1456.780366	-1.812969	-8.099941	-14.797199
1456.783696	-1.637638	-8.392170	-14.914089
1456.787037	-1.637638	-8.625950	-14.797199
1456.790366	-1.637638	-8.450611	-14.621864
1456.793697	-1.988308	-9.444187	-15.323208
1456.797031	-1.637638	-9.210403	-14.972534
1456.800362	-1.988308	-9.268848	-14.446529
1456.803700	-1.812969	-9.736408	-15.323208
1456.807030	-1.812969	-9.970192	-15.381653
1456.810387	-2.163643	-9.736408	-15.615433
1456.814621	-2.338982	-10.203972	-15.264763
1456.817963	-1.812969	-10.496201	-16.082996
1456.821297	-1.871418	-10.846874	-15.440098
1456.824124	-1.696079	-11.197548	-15.440098
1456.827456	-2.105202	-11.314438	-15.440098
1456.830796	-1.929863	-11.548218	-16.959679
1456.833698	-1.696079	-11.431328	-16.082996
1456.837030	-2.105202	-12.541790	-16.375225
1456.840367	-1.637638	-12.775574	-16.784340
1456.843691	-1.637638	-12.658684	-16.375225
1456.847029	-1.462299	-13.126244	-16.609005
1456.850363	-1.637638	-13.476917	-16.024551
1456.853714	-1.520748	-14.236702	-16.609005
1456.857029	-1.579189	-14.879604	-16.901234
1456.860363	-1.345409	-14.704266	-16.901234
1456.863694	-1.520748	-14.704266	-16.141441
1456.867022	-1.111626	-16.106953	-17.018124
1456.870356	-1.696079	-16.632965	-16.550560
1456.873692	-1.286964	-17.158970	-16.901234
1456.877017	-1.403858	-17.451199	-17.544132
1456.880396	-1.170074	-18.152542	-17.310349
1456.883690	-0.877846	-19.087669	-16.725895
1456.888291	-1.053185	-20.198128	-17.076569
