time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
2928.016519	94.298515	2.406185	0.100000	183
2930.110322	89.178749	2.333592	0.100000	185
2932.200301	90.174164	2.350254	0.100000	187
2934.283559	94.075798	2.306425	0.100000	189
2936.372226	91.100578	2.231058	0.100000	191
2938.466426	86.661339	2.161256	0.100000	193
2940.553149	93.150551	2.180587	0.100000	195
2942.635623	73.279205	1.989969	0.100000	197
2944.724800	273.663208	1.934138	-0.100000	199
2946.817816	273.527588	1.668524	-0.100000	201
2948.908447	280.845001	1.920803	-0.100000	203
2950.995368	277.412323	1.668349	-0.100000	205
2953.081214	112.313164	1.847054	0.100000	207
2955.167716	99.297836	1.793830	0.100000	209
2957.255052	91.184685	1.839562	0.100000	211
2959.344043	91.948547	1.791821	0.100000	213
2961.433809	93.372025	1.742402	0.100000	215
2963.523576	111.245720	1.636027	0.100000	217
2965.611294	115.075706	1.575436	0.100000	219
2967.695115	108.039932	1.558404	0.100000	221
2969.777389	95.201385	1.566073	0.100000	223
2971.864690	112.875465	1.437736	0.100000	225
2973.958973	93.158020	1.548153	0.100000	227
2976.049325	106.546227	1.424739	0.100000	229
2978.130936	95.672447	1.439545	0.100000	231
2980.211891	109.467499	1.308300	0.100000	233
2982.302705	106.885307	1.273495	0.100000	235
2984.396773	103.871140	1.283483	0.100000	237
2986.486612	93.958206	1.358022	0.100000	239
2988.569647	93.582176	1.330570	0.100000	241
2990.651046	108.151840	1.175650	0.100000	243
2992.734941	92.904999	1.202124	0.100000	245
2994.821184	100.496704	1.128863	0.100000	247
2996.907535	107.716835	1.119182	0.100000	249
2998.995174	92.882866	1.157549	0.100000	251
3001.080913	94.911469	1.130924	0.063769	253
3003.168382	95.187004	1.097969	0.062312	255
3005.255525	95.422913	1.069403	0.060595	1
3007.346689	275.055908	-1.037102	-0.058128	3
3009.438764	273.938263	-1.005782	-0.054405	5
3011.532074	82.283577	0.950700	0.100000	7
3013.617537	89.781479	0.943202	0.100000	9
3015.696108	274.804230	-0.941214	-0.053897	11
3017.776007	275.949707	-0.904254	-0.052855	13
3019.864100	275.891235	-0.870737	-0.049610	15
3021.961697	274.397064	-0.842815	-0.045678	17
3024.054623	273.027893	-0.828082	-0.044760	19
3026.142068	273.530487	-0.810672	-0.044636	21
3028.220645	274.681122	-0.783084	-0.044687	23
3030.299680	275.440216	-0.751180	-0.043755	25
3032.382092	275.685547	-0.723792	-0.041991	27
3034.467943	275.709045	-0.698420	-0.040459	29
3036.557020	275.614258	-0.675933	-0.038627	31
3038.644026	275.501434	-0.654608	-0.037098	33
3040.734969	275.386719	-0.634568	-0.035472	35
3042.818584	275.256683	-0.611364	-0.033776	37
3044.903727	275.007965	-0.591236	-0.032007	39
3046.992559	274.704651	-0.568457	-0.030035	41
3049.081821	274.622650	-0.546252	-0.029002	43
3051.179680	274.937531	-0.528563	-0.028587	45
3053.278318	270.405121	-0.460220	-0.044951	47
