crossing time (s)	slope (V/s)	crossing number
3117.838153	76.571655	1894
3118.892577	77.934082	1895
3119.948183	78.312677	1896
3120.969535	75.388474	1897
3122.012882	71.522284	1898
3123.088542	75.002207	1899
3124.106563	72.075100	1900
3125.149157	68.609286	1901
3126.206852	69.467198	1902
3127.249003	68.264250	1903
3128.284965	66.289842	1904
3129.338051	65.854785	1905
3130.367522	65.174149	1906
3131.424430	62.888818	1907
3132.461645	62.826097	1908
3133.518571	61.409198	1909
3134.551901	58.885600	1910
3135.601528	60.274369	1911
3136.636131	56.924987	1912
3137.682115	56.610051	1913
3138.752986	56.023001	1914
3139.775400	54.298453	1915
3140.827104	54.334799	1916
3141.872879	52.162131	1917
3142.914410	51.583899	1918
3143.956325	50.822704	1919
3144.997740	49.432693	1920
3146.045291	48.780428	1921
3147.088515	47.669198	1922
3148.132330	47.165278	1923
3149.172709	45.726711	1924
3150.228343	45.088508	1925
3151.261300	44.437553	1926
3152.310454	42.990288	1927
3153.374067	42.785967	1928
3154.402856	41.478375	1929
3155.427592	40.792079	1930
3156.493522	39.843076	1931
3157.521994	38.693318	1932
3158.571035	38.641658	1933
3159.611469	37.611212	1934
3160.658123	36.785420	1935
3161.695885	35.340322	1936
3162.746040	35.175126	1937
3163.786961	34.582582	1938
3164.827168	34.353779	1939
3165.868380	32.088047	1940
3166.924861	32.254274	1941
3167.954847	31.957517	1942
3169.018835	31.024892	1943
3170.046906	29.564111	1944
3171.103173	29.002511	1945
3172.147244	27.973999	1946
3173.174948	27.566996	1947
3174.240622	26.621287	1948
3175.272194	26.574639	1949
3176.317657	25.615922	1950
3177.371670	25.814116	1951
3178.403872	24.846694	1952
3179.462613	24.358586	1953
3180.473665	23.558868	1954
3181.538812	22.712402	1955
3182.570867	22.181774	1956
3183.638353	21.913363	1957
3184.653047	21.191438	1958
3185.722164	21.157307	1959
3186.743043	20.148756	1960
3187.804770	20.204080	1961
3188.845443	19.237471	1962
3189.884972	18.528460	1963
3190.935410	17.861498	1964
3191.973610	17.874364	1965
3193.016569	17.187816	1966
3194.072884	16.587626	1967
3195.091182	16.824005	1968
3196.153994	15.998277	1969
3197.177155	15.273469	1970
3198.225345	15.325259	1971
3199.278264	14.884086	1972
3200.305051	14.391812	1973
3201.353150	14.566763	1974
3202.414187	13.821035	1975
3203.446165	13.417476	1976
3204.510521	13.129293	1977
3205.537506	12.417804	1978
3206.584256	12.115689	1979
3207.628826	11.860615	1980
3208.670748	11.388640	1981
3209.704821	11.567690	1982
3210.770516	10.879095	1983
3211.773185	10.270907	1984
3212.861483	10.585398	1985
3213.880951	9.943282	1986
3214.923486	9.335884	1987
3215.994206	8.953860	1988
3217.011020	8.810424	1989
3218.059557	8.827154	1990
3219.099464	8.154037	1991
3220.146446	8.347125	1992
3221.198783	7.209531	1993
3222.237932	7.560985	1994
3223.282124	7.272551	1995
3224.320620	7.173335	1996
3225.382328	6.789608	1997
3226.392963	6.471972	1998
3227.472017	6.547190	1999
3228.497689	6.672197	2000
3229.562522	5.973578	2001
3230.591678	5.764977	2002
3231.641474	5.459215	2003
