time (s)	det(V)
3318.616122	-0.087685	
3318.617796	-0.103895	
3318.619397	-0.100214	
3318.621038	-0.113438	
3318.622645	-0.098703	
3318.624334	-0.098328	
3318.625901	-0.114784	
3318.627587	-0.133810	
3318.629136	-0.111175	
3318.630837	-0.144267	
3318.632397	-0.113801	
3318.634098	-0.112464	
3318.635654	-0.122297	
3318.637369	-0.137411	
3318.638858	-0.132154	
3318.640416	-0.126144	
3318.641905	-0.131779	
3318.643505	-0.123030	
3318.645030	-0.129322	
3318.646584	-0.125677	
3318.648176	-0.146990	
3318.649773	-0.131280	
3318.651361	-0.145742	
3318.652930	-0.129540	
3318.654559	-0.126494	
3318.656090	-0.123179	
3318.657772	-0.136903	
3318.659351	-0.124371	
3318.661009	-0.132750	
3318.662613	-0.132166	
3318.664281	-0.137467	
3318.665859	-0.122236	
3318.667555	-0.143659	
3318.669123	-0.135046	
3318.670819	-0.131574	
3318.672362	-0.118361	
3318.674070	-0.120967	
3318.675599	-0.144013	
3318.677352	-0.134930	
3318.678847	-0.149564	
3318.680633	-0.137020	
3318.682129	-0.145850	
3318.683921	-0.138704	
3318.685399	-0.133258	
3318.687187	-0.139852	
3318.688664	-0.122949	
3318.690425	-0.140585	
3318.691913	-0.131493	
3318.693661	-0.129346	
3318.695171	-0.127236	
3318.696928	-0.128512	
3318.698440	-0.144360	
3318.700183	-0.125660	
3318.701701	-0.145576	
3318.703429	-0.126079	
3318.704970	-0.145858	
3318.706675	-0.129306	
3318.708222	-0.126538	
3318.709925	-0.123191	
3318.711505	-0.127489	
3318.713005	-0.145423	
3318.714645	-0.137040	
3318.716161	-0.140811	
3318.717808	-0.129693	
3318.719313	-0.134837	
3318.720934	-0.134430	
3318.722424	-0.139401	
3318.724150	-0.154608	
3318.725635	-0.136146	
3318.727346	-0.122260	
3318.728833	-0.129906	
3318.730522	-0.125221	
3318.732001	-0.126108	
3318.733783	-0.125503	
3318.735265	-0.125842	
3318.737054	-0.128649	
3318.738559	-0.127231	
3318.740316	-0.115364	
3318.741820	-0.132130	
3318.743571	-0.133657	
