time (s)	magX	magY	magZ
1632.434965	-345.774414	-178.400940	-342.886627
1632.438241	-351.034485	-181.030975	-362.641144
1632.441604	-356.294556	-182.024551	-383.213928
1632.444909	-360.911743	-183.076569	-404.371124
1632.448242	-363.833984	-184.011688	-425.820587
1632.451568	-366.697815	-184.128586	-448.555817
1632.454926	-368.801880	-184.070129	-471.524841
1632.458240	-370.789001	-183.485687	-496.013428
1632.461566	-371.607239	-182.258331	-519.508484
1632.465752	-369.737000	-177.056686	-570.005249
1632.469098	-367.925171	-174.543549	-594.435425
1632.472447	-363.366455	-170.277023	-620.209839
1632.475356	-358.690857	-166.068970	-646.159546
1632.478693	-352.203369	-160.575104	-670.648193
1632.482089	-344.430176	-154.263016	-696.071899
1632.484943	-336.481567	-147.775574	-719.742310
1632.488232	-325.493835	-140.528351	-743.529541
1632.491566	-314.506165	-132.521332	-766.966064
1632.494906	-300.537720	-124.338989	-788.532471
1632.498263	-285.634155	-114.929291	-809.455933
1632.501567	-270.029236	-105.928696	-829.151978
1632.504898	-252.612534	-95.583878	-848.848022
1632.508234	-234.436020	-85.239044	-864.862061
1632.511578	-214.623032	-73.783752	-879.415039
1632.514900	-193.699600	-63.263592	-892.740479
1632.518234	-171.782593	-52.217411	-904.604858
1632.521570	-150.099350	-40.586788	-914.540649
1632.524899	-126.604324	-28.780834	-922.313843
1632.528230	-102.349503	-16.507305	-927.632446
1632.531565	-78.036240	-5.168907	-931.372925
1632.534900	-52.729401	6.812389	-933.009277
1632.539159	-2.875511	31.476330	-930.613159
1632.542526	21.846874	42.931618	-925.879028
1632.545768	46.744591	54.620689	-919.391602
1632.548652	71.817650	65.666862	-911.209229
1632.551992	95.897133	76.245468	-901.273560
1632.555333	118.807716	87.350082	-888.766235
1632.558228	141.718292	97.694916	-875.732910
1632.561562	163.109283	107.572174	-859.718872
1632.564896	183.857391	116.631210	-843.412598
1632.568225	204.371719	125.456451	-826.171265
1632.571559	222.314423	133.989471	-807.351807
1632.574889	239.438934	142.347168	-787.421997
1632.578229	255.978958	150.003510	-766.031006
1632.581559	270.765625	156.490936	-744.406250
1632.584913	284.383392	163.212143	-721.963135
1632.588224	296.949158	167.712448	-699.227905
1632.591555	307.527771	173.030960	-674.680908
1632.594916	316.879028	177.706604	-652.120972
1632.598254	325.645813	181.739319	-628.099976
1632.601557	332.600830	185.012268	-603.786621
1632.604893	339.029785	187.759201	-579.940918
1632.608222	343.588562	189.454117	-557.205750
1632.612403	350.543518	191.499710	-510.624756
1632.615738	352.004700	192.142593	-487.831085
1632.619098	352.881348	192.376373	-466.030975
1632.621983	353.173584	191.908813	-444.406189
1632.625328	352.355347	190.330795	-423.891876
1632.628691	351.186462	189.454117	-403.319122
1632.631553	348.731750	187.408524	-384.675049
1632.634889	346.627686	185.596725	-365.621857
1632.638246	343.471619	182.440674	-347.971375
1632.641552	340.140259	180.044418	-330.554657
1632.644886	336.341309	177.180588	-313.722412
1632.648220	331.315002	174.316772	-298.935730
1632.651553	326.873169	170.868500	-283.330811
1632.654890	321.729980	167.653992	-267.725891
1632.658255	316.294556	164.030396	-254.575684
1632.661557	310.800690	160.172989	-242.126831
1632.664889	306.417297	157.075394	-229.385742
1632.668221	300.397400	152.984222	-216.936890
1632.671571	294.786682	149.652832	-205.773819
1632.674881	289.000580	145.678558	-194.902985
1632.678216	282.863831	142.347168	-184.032150
1632.681551	276.317932	138.665115	-158.900635
1632.685756	264.628876	131.184097	-156.679718
1632.689163	258.375214	128.086502	-147.796021
1632.692520	253.056686	124.755112	-140.139679
1632.695388	246.744598	121.715958	-131.957336
1632.698635	240.257156	118.150787	-124.651672
1632.702018	234.412628	115.696075	-117.521332
1632.704883	229.210983	112.247803	-111.559906
1632.708212	223.191116	109.383987	-106.007599
1632.711547	217.463470	106.403275	-99.286385
1632.714909	212.086502	103.656342	-94.610756
1632.718208	207.235535	101.026306	-89.350677
