crossing time (s)	slope (V/s)	crossing number
4976.104561	-11.635200	5834
4977.142666	-11.892898	5835
4978.179116	-10.991870	5836
4979.240821	-11.435924	5837
4980.257065	-11.676928	5838
4981.313134	-10.786777	5839
4982.354486	-11.275068	5840
4983.402976	-10.754994	5841
4984.438344	-10.572180	5842
4985.497338	-10.749953	5843
4986.523870	-10.679941	5844
4987.588282	-10.285739	5845
4988.619476	-10.562848	5846
4989.658549	-9.574553	5847
4990.715305	-11.736225	5848
4991.736104	-10.643770	5849
4992.789565	-10.968884	5850
4993.820627	-9.798086	5851
4994.876613	-9.980660	5852
4995.923616	-9.687113	5853
4996.969906	-8.922335	5854
4998.003102	-9.731826	5855
4999.052549	-9.601187	5856
5000.090072	-9.945361	5857
5001.143388	-10.073182	5858
5002.174461	-9.739932	5859
5003.221022	-9.404840	5860
5004.250510	-9.080452	5861
5005.319130	-9.166040	5862
5006.345446	-9.262104	5863
5007.399059	-7.921012	5864
5008.421753	-9.007996	5865
5009.481789	-8.179192	5866
5010.507259	-8.274057	5867
5011.570497	-8.781625	5868
5012.617640	-8.077193	5869
5013.632045	-7.818322	5870
5014.695893	-8.603509	5871
5015.733806	-7.910797	5872
5016.771809	-8.280745	5873
5017.818624	-7.633083	5874
5018.865315	-8.144257	5875
5019.910869	-7.983269	5876
5020.943917	-8.138934	5877
5021.988476	-8.662022	5878
5023.026180	-7.106883	5879
5024.070049	-7.652569	5880
5025.134682	-7.132574	5881
5026.168772	-6.886401	5882
5027.227363	-7.303798	5883
5028.250324	-7.379754	5884
5029.298367	-6.937900	5885
5030.346045	-6.706009	5886
5031.380623	-7.218027	5887
5032.437608	-6.589073	5888
5033.459487	-5.972790	5889
5034.523520	-6.295130	5890
5035.545947	-7.169433	5891
5036.599877	-6.070004	5892
5037.642997	-5.839507	5893
5038.685196	-5.058721	5894
5039.711005	-6.389405	5895
5040.763274	-5.778098	5896
5041.801830	-6.114304	5897
5042.859490	-5.508425	5898
5043.893351	-5.317848	5899
5044.931997	-6.170333	5900
5045.986439	-5.477089	5901
5047.011500	-5.130914	5902
5048.052664	-5.237841	5903
5049.107279	-4.688169	5904
5050.131487	-5.598645	5905
5051.200321	-5.082035	5906
5052.234353	-5.215449	5907
5053.267908	-4.984637	5908
5054.317685	-5.300300	5909
5055.367898	-5.566711	5910
5056.417631	-5.328655	5911
5057.441603	-4.993458	5912
5058.485314	-5.168965	5913
5059.533362	-4.903254	5914
5060.576740	-5.648430	5915
5061.629054	-5.253776	5916
5062.676507	-5.116972	5917
5063.713528	-4.612418	5918
5064.760791	-5.209003	5919
5065.803734	-3.547846	5920
5066.843192	-4.986418	5921
5067.883544	-4.399994	5922
5068.933260	-4.203510	5923
5069.979802	-3.365118	5924
5071.016189	-4.769576	5925
5072.056614	-4.011870	5926
5073.089570	-4.507199	5927
5074.140708	-4.289852	5928
5075.172907	-4.147800	5929
5076.236416	-3.595982	5930
5077.268909	-4.324057	5931
5078.295527	-3.353315	5932
5079.357597	-3.793496	5933
5080.406126	-4.295494	5934
5081.437151	-4.070395	5935
5082.484630	-4.179816	5936
5083.514669	-4.962496	5937
5084.572477	-3.364917	5938
5085.602573	-3.915533	5939
5086.661874	-3.361193	5940
5087.698247	-4.172566	5941
5088.743969	-3.267709	5942
5089.775561	-3.777010	5943
5090.832808	-4.323389	5944
5091.854348	-3.838752	5945
5092.939479	-3.918430	5946
5093.940628	-3.506719	5947
5095.005753	-3.572457	5948
5096.039347	-2.600025	5949
5097.092819	-3.806184	5950
5098.124858	-3.483719	5951
5099.181966	-3.252089	5952
5100.208286	-3.963069	5953
5101.268978	-3.259255	5954
5102.312189	-3.342750	5955
5103.340989	-2.636989	5956
5104.393345	-2.803148	5957
5105.418887	-3.312752	5958
5106.476217	-2.894938	5959
5107.524078	-3.298712	5960
5108.567733	-2.914095	5961
5109.598361	-3.410191	5962
