time (s)	det(V)
5293.792316	-0.035799	
5293.793922	-0.003060	
5293.795574	-0.030280	
5293.797150	0.016791	
5293.798839	-0.005155	
5293.800383	0.025130	
5293.802088	-0.010662	
5293.803626	0.022511	
5293.805344	0.018942	
5293.806890	0.053578	
5293.808610	0.009258	
5293.810128	0.026580	
5293.811877	0.022189	
5293.813353	0.038838	
5293.815160	0.043724	
5293.816639	0.020509	
5293.818422	0.018970	
5293.819903	0.029303	
5293.821523	0.056264	
5293.823045	0.040079	
5293.824608	0.046866	
5293.826157	0.058557	
5293.827648	0.035720	
5293.829297	0.049388	
5293.830866	0.019695	
5293.832494	0.050101	
5293.834034	0.033311	
5293.835709	0.035551	
5293.837185	0.059669	
5293.838888	0.032800	
5293.840477	0.061795	
5293.842181	0.002535	
5293.843716	0.059354	
5293.845431	0.012086	
5293.846979	0.060478	
5293.848691	0.070513	
5293.850224	0.056341	
5293.851958	0.051999	
5293.853468	0.071991	
5293.855207	0.044856	
5293.856688	0.080096	
5293.858479	0.058299	
5293.859956	0.046681	
5293.861734	0.088600	
5293.863216	0.049058	
5293.865005	0.042818	
5293.866488	0.101869	
5293.868253	0.082900	
5293.869757	0.076672	
5293.871516	0.056833	
5293.873019	0.039358	
5293.874758	0.052965	
5293.876274	0.047108	
5293.878007	0.050238	
5293.879533	0.086320	
5293.881252	0.056047	
5293.882806	0.090473	
5293.884513	0.068414	
5293.886068	0.062085	
5293.887762	0.058073	
5293.889327	0.058387	
5293.890994	0.074891	
5293.892603	0.027091	
5293.894092	0.067842	
5293.895727	0.007474	
5293.897251	0.075592	
5293.898897	0.114599	
5293.900373	0.062073	
5293.901995	0.064011	
5293.903475	0.096217	
5293.905191	0.097651	
5293.906676	0.092946	
5293.908389	0.078602	
5293.909873	0.048156	
5293.911556	0.076132	
5293.913060	0.067818	
5293.914811	0.065425	
5293.916313	0.070871	
5293.918035	0.057505	
5293.919561	0.072901	
5293.921273	0.061820	
5293.922823	0.087806	
5293.924510	0.075173	
5293.926070	0.073429	
5293.927753	0.072056	
5293.929321	0.041170	
5293.930998	0.075113	
5293.932581	0.052768	
5293.934225	0.063020	
5293.935829	0.102280	
5293.937471	0.078312	
5293.939097	0.079822	
5293.940708	0.082082	
5293.942354	0.075480	
5293.943960	0.071568	
5293.945610	0.046000	
5293.947211	0.114699	
5293.948860	0.054778	
5293.950443	0.062009	
5293.952143	0.067234	
5293.953700	0.107597	
5293.955401	0.070086	
5293.956953	0.083891	
5293.958649	0.061578	
5293.960180	0.099976	
5293.961901	0.051165	
5293.963406	0.077389	
5293.965182	0.083641	
5293.966662	0.087073	
5293.968302	0.061953	
5293.969780	0.118425	
5293.971376	0.034165	
5293.972902	0.076801	
5293.974437	0.079995	
5293.976025	0.084261	
5293.977615	0.078843	
5293.979222	0.086775	
5293.980778	0.062609	
5293.982398	0.085788	
5293.983894	0.106365	
5293.985601	0.084717	
5293.987187	0.084298	
5293.988857	0.082312	
5293.990429	0.086267	
5293.992100	0.076084	
5293.993668	0.075971	
5293.995380	0.045884	
5293.996939	0.086324	
5293.998646	0.070118	
5294.000172	0.082054	
5294.001893	0.070412	
5294.003372	0.079270	
5294.005136	0.078952	
5294.006631	0.077196	
5294.008414	0.063652	
5294.009892	0.079697	
5294.011676	0.066219	
5294.013163	0.080156	
5294.014930	0.057010	
5294.016420	0.074791	
5294.018129	0.069904	
5294.019645	0.107340	
5294.021361	0.072237	
5294.022899	0.082859	
5294.024630	0.072398	
5294.026164	0.054496	
5294.027864	0.081458	
5294.029412	0.055016	
5294.031096	0.088487	
5294.032656	0.049960	
5294.034331	0.056736	
5294.035935	0.102337	
5294.037589	0.075504	
5294.039193	0.049175	
5294.040702	0.086062	
5294.042351	0.041960	
5294.043842	0.072503	
5294.045475	0.108226	
5294.046964	0.067367	
5294.048617	0.075222	
5294.050109	0.096056	
5294.051832	0.069280	
5294.053324	0.075302	
5294.055026	0.083395	
5294.056501	0.097680	
5294.058187	0.057489	
5294.059682	0.089067	
5294.061417	0.069062	
5294.062933	0.115408	
5294.064645	0.064410	
5294.066184	0.048732	
5294.067882	0.077877	
5294.069425	0.094622	
5294.071132	0.091255	
5294.072678	0.049461	
5294.074349	0.071371	
5294.075920	0.063596	
5294.077573	0.073401	
5294.079181	0.052881	
5294.080809	0.079407	
5294.082430	0.090731	
5294.084071	0.092358	
5294.085695	0.069344	
5294.087322	0.100548	
5294.088965	0.065663	
5294.090545	0.094546	
5294.092229	0.059197	
5294.093807	0.080724	
5294.095489	0.055346	
5294.097066	0.072519	
5294.098737	0.065232	
5294.100289	0.092689	
5294.101990	0.048889	
5294.103542	0.072136	
5294.105272	0.057509	
5294.106783	0.096367	
5294.108550	0.090469	
5294.110037	0.064313	
5294.111585	0.060603	
5294.113081	0.082791	
5294.114668	0.119908	
5294.116221	0.114244	
5294.117758	0.070045	
5294.119349	0.048438	
5294.120926	0.090163	
5294.122529	0.058077	
5294.124073	0.055966	
5294.125700	0.047370	
5294.127191	0.065598	
5294.128887	0.060535	
5294.130474	0.087130	
5294.132147	0.072535	
5294.133725	0.081788	
5294.135424	0.046222	
5294.136972	0.068289	
5294.138684	0.068152	
5294.140233	0.057167	
5294.141934	0.077317	
5294.143432	0.117624	
5294.145193	0.048337	
5294.146674	0.070505	
5294.148457	0.064071	
5294.149939	0.056337	
5294.151724	0.060587	
5294.153208	0.107742	
5294.154978	0.067342	
5294.156460	0.118639	
5294.158210	0.087863	
5294.159708	0.106244	
5294.161462	0.071931	
5294.162972	0.081840	
5294.164718	0.055519	
5294.166239	0.105128	
5294.167961	0.056575	
5294.169497	0.116351	
5294.171207	0.073578	
5294.172762	0.078461	
5294.174459	0.080342	
5294.176026	0.080028	
5294.177727	0.088406	
5294.179290	0.079685	
5294.180959	0.087863	
5294.182567	0.054545	
5294.184058	0.041533	
5294.185691	0.060478	
5294.187215	0.102421	
5294.188837	0.038447	
5294.190317	0.099879	
5294.191963	0.061433	
5294.193448	0.096056	
5294.195153	0.062275	
5294.196637	0.075854	
5294.198353	0.056003	
5294.199839	0.098191	
5294.201541	0.045034	
5294.203032	0.111267	
5294.204798	0.069703	
5294.206313	0.114482	
5294.208057	0.068712	
5294.209576	0.082400	
5294.211291	0.082735	
5294.212826	0.088294	
5294.214537	0.077812	
5294.216095	0.110441	
5294.217799	0.079951	
5294.219367	0.084773	
5294.221065	0.087770	
5294.222634	0.104862	
5294.224302	0.082400	
5294.225878	0.060845	
5294.227525	0.072354	
5294.229119	0.060269	
5294.230740	0.082714	
5294.232363	0.062166	
5294.233983	0.088572	
5294.235652	0.073522	
5294.237244	0.110131	
5294.238884	0.069199	
5294.240491	0.120702	
5294.242167	0.067363	
5294.243731	0.100475	
5294.245433	0.060369	
5294.246987	0.071359	
5294.248699	0.076156	
5294.250261	0.127223	
5294.251966	0.070174	
5294.253508	0.103086	
5294.255252	0.092294	
5294.256732	0.054690	
5294.258369	0.078001	
5294.259842	0.120822	
5294.261455	0.099569	
5294.262962	0.119288	
5294.264514	0.085486	
5294.266073	0.098473	
5294.267684	0.115364	
5294.269274	0.070629	
5294.270847	0.117463	
5294.272473	0.110760	
5294.274020	0.094751	
5294.275657	0.094115	
5294.277263	0.114035	
5294.278934	0.092322	
5294.280524	0.151071	
5294.282187	0.085530	
5294.283788	0.124335	
5294.285477	0.073143	
5294.287043	0.088270	
5294.288751	0.073405	
5294.290299	0.128315	
5294.291991	0.077965	
5294.293538	0.092064	
5294.295253	0.089913	
5294.296782	0.097212	
5294.298516	0.102324	
5294.300001	0.136154	
5294.301790	0.096101	
5294.303269	0.137101	
5294.305067	0.093112	
5294.306544	0.091118	
5294.308322	0.095734	
5294.309802	0.129459	
5294.311561	0.098985	
5294.313062	0.097889	
5294.314843	0.096008	
5294.316347	0.121628	
5294.318100	0.084060	
5294.319613	0.122063	
5294.321363	0.108117	
5294.322886	0.126059	
5294.324593	0.121930	
5294.326123	0.119267	
5294.327831	0.130845	
5294.329408	0.093096	
5294.330905	0.094215	
5294.332564	0.212591	
5294.334055	0.124436	
5294.335680	0.101841	
5294.337210	0.127711	
5294.338841	0.165194	
5294.340316	0.145452	
5294.342066	0.142853	
5294.343543	0.121415	
5294.345264	0.150467	
5294.346739	0.157246	
5294.348441	0.140666	
5294.349924	0.125954	
5294.351684	0.133620	
5294.353163	0.118405	
5294.354927	0.144944	
5294.356414	0.111368	
5294.358195	0.140726	
5294.359692	0.142402	
5294.361437	0.167760	
5294.362948	0.178597	
5294.364650	0.167930	
5294.366176	0.185670	
