time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
6745.320479	26.005930	1.793501	0.020982	57
6747.413797	25.212397	1.758547	0.020939	59
6749.503334	25.447777	1.742220	0.025474	61
6751.589109	26.987328	1.703325	0.025154	63
6753.682848	25.918119	1.647951	0.021146	65
6755.776387	25.114164	1.632935	0.026528	67
6757.860642	26.694614	1.605475	0.027537	69
6759.951397	26.725372	1.557283	0.025273	71
6762.045200	25.952021	1.521807	0.026397	73
6764.137486	25.717108	1.493703	0.027813	75
6766.228307	25.926306	1.462892	0.028532	77
6768.318242	26.141981	1.429361	0.029202	79
6770.407267	26.325823	1.401370	0.029301	81
6772.494862	26.012466	1.372116	0.028508	83
6774.582117	25.565283	1.335213	0.029901	85
6776.675485	25.953499	1.296703	0.032334	87
6778.770246	26.716980	1.272832	0.031891	89
6780.857535	26.366867	1.254562	0.030332	91
6782.942205	25.740381	1.220275	0.031889	93
6785.033689	25.840458	1.185853	0.033196	95
6787.126761	26.077106	1.154988	0.033227	97
6789.218158	26.153559	1.128499	0.033125	99
6791.308568	26.053484	1.102931	0.033521	101
6793.397639	26.041071	1.076570	0.033773	103
6795.484386	26.366529	1.051750	0.034654	105
6797.572844	26.810555	1.022175	0.035345	107
6799.663029	26.925129	0.990370	0.034853	109
6801.758415	26.137238	0.963013	0.034378	111
6803.853622	25.474337	0.945893	0.035495	113
6805.939571	25.820206	0.929139	0.036784	115
6808.023640	26.535553	0.904164	0.036779	117
6810.111199	26.852102	0.874092	0.036660	119
6812.200920	26.760311	0.848939	0.036783	121
6814.291694	26.616455	0.826386	0.036892	123
6816.381566	26.456337	0.804436	0.036992	125
6818.470342	26.313070	0.782497	0.037022	127
6820.561524	26.180862	0.760385	0.037239	129
6822.657856	26.301714	0.739827	0.037962	131
6824.756784	26.597742	0.721710	0.038426	133
6826.844217	26.764261	0.707262	0.037610	135
6828.929557	26.488102	0.690800	0.037132	137
6831.015749	26.306898	0.667146	0.037365	139
